DATE,TIME,CUSTOMERTYPE,PRODUCTCATEGORY,UNITPRICE,QUANTITY,TOTAL,FULLNAME,MONTH,YEAR,DAY_OF_WEEK,HOUR,REVENUE_PER_UNIT
"2023-07-19 11:17:00",13:11:39,Regular,Clothing,294.49,5,1472.45,"Krishna Singh",July,2023,Wednesday,13,294.49
"2024-04-07 19:52:00",14:00:12,Regular,"Home & Kitchen",365,1,365,"Avani Singh",April,2024,Sunday,14,365
"2024-07-03 10:12:00",13:04:04,Premium,Electronics,121.4,1,121.4,"Aakash Bhatia",July,2024,Wednesday,13,121.4
"2023-03-04 03:26:00",11:20:00,Regular,Electronics,56.35,3,169.05,"Yash Jain",March,2023,Saturday,11,56.35
"2024-06-21 08:07:00",12:18:47,Regular,Clothing,174.95,5,874.75,"Vaibhav Iyer",June,2024,Friday,12,174.95
"2023-06-28 03:29:00",02:12:39,Regular,"Beauty & Personal Care",383.83,3,1151.49,"Krishna Yadav",June,2023,Wednesday,2,383.83
"2024-10-15 17:51:00",07:51:35,Regular,Clothing,413.42,1,413.42,"Tanvi Wadhwa",October,2024,Tuesday,7,413.42
"2024-07-30 10:19:00",13:53:22,Regular,Grocery,300.53,5,1502.65,"Krishna Jain",July,2024,Tuesday,13,300.53000000000003
"2024-01-02 23:18:00",01:58:39,Regular,Clothing,387.29,5,1936.45,"Diya Agarwal",January,2024,Tuesday,1,387.29
"2023-09-26 12:48:00",12:32:36,Member,"Beauty & Personal Care",493.08,1,493.08,"Avani Agarwal",September,2023,Tuesday,12,493.08
"2023-08-20 03:48:00",21:48:59,Regular,Grocery,111.1,4,444.4,"Tanvi Zutshi",August,2023,Sunday,21,111.1
"2023-03-07 11:43:00",16:00:03,Member,"Home & Kitchen",324.6,1,324.6,"Diya Jain",March,2023,Tuesday,16,324.6
"2023-08-18 03:28:00",06:18:47,Regular,Grocery,216.87,5,1084.35,"Mahesh Agarwal",August,2023,Friday,6,216.86999999999998
"2023-10-03 19:55:00",15:24:15,Member,Electronics,471.56,2,943.12,"Krishna Yadav",October,2023,Tuesday,15,471.56
"2023-09-05 07:05:00",23:01:49,Member,Grocery,215.35,1,215.35,"Rohan Sharma",September,2023,Tuesday,23,215.35
"2023-02-06 15:19:00",01:43:56,Premium,"Home & Kitchen",439.66,1,439.66,"Jai Khanna",February,2023,Monday,1,439.66
"2023-11-26 20:22:00",22:01:41,Premium,Clothing,464.08,3,1392.24,"Tanvi Wadhwa",November,2023,Sunday,22,464.08
"2024-05-18 22:03:00",00:01:48,Regular,"Home & Kitchen",285.29,5,1426.45,"Uday Bhatia",May,2024,Saturday,0,285.29
"2023-07-12 00:30:00",16:20:08,Premium,"Home & Kitchen",27.13,5,135.65,"Krishna Agarwal",July,2023,Wednesday,16,27.130000000000003
"2024-08-18 23:16:00",07:45:13,Premium,Grocery,238.6,2,477.2,"Ishaan Singh",August,2024,Sunday,7,238.6
"2023-04-26 05:33:00",13:41:19,Premium,"Home & Kitchen",19.78,2,39.56,"Jai Patel",April,2023,Wednesday,13,19.78
"2024-06-26 18:03:00",20:21:18,Member,Grocery,290.63,5,1453.15,"Priya Verma",June,2024,Wednesday,20,290.63
"2023-10-04 01:50:00",11:37:00,Premium,Grocery,397.11,2,794.22,"Zara Sharma",October,2023,Wednesday,11,397.11
"2024-08-23 13:36:00",13:43:01,Regular,Grocery,81.85,5,409.25,"Eeshaan Kumar",August,2024,Friday,13,81.85
"2023-10-02 02:29:00",07:50:15,Member,Clothing,356.42,5,1782.1,"Diya Patel",October,2023,Monday,7,356.41999999999996
"2023-12-26 07:30:00",23:33:35,Member,Electronics,147.69,2,295.38,"Lakshmi Jain",December,2023,Tuesday,23,147.69
"2023-05-14 01:15:00",13:50:05,Premium,Electronics,409.77,4,1639.08,"Gaurav Wadhwa",May,2023,Sunday,13,409.77
"2024-04-12 18:03:00",17:48:18,Member,Electronics,43.15,1,43.15,"Aakash Desai",April,2024,Friday,17,43.15
"2024-02-12 10:32:00",23:48:33,Premium,"Beauty & Personal Care",397.01,2,794.02,"Krishna Zutshi",February,2024,Monday,23,397.01
"2023-06-23 00:46:00",23:32:12,Premium,"Beauty & Personal Care",482.76,4,1931.04,"Vaibhav Agarwal",June,2023,Friday,23,482.76
"2023-02-05 04:45:00",19:19:30,Premium,"Home & Kitchen",91.19,5,455.95,"Tanvi Verma",February,2023,Sunday,19,91.19
"2023-09-06 04:09:00",14:22:02,Member,"Home & Kitchen",469.96,3,1409.88,"Uday Chauhan",September,2023,Wednesday,14,469.96000000000004
"2024-04-21 03:18:00",21:15:35,Member,Clothing,424.57,5,2122.85,"Nandini Iyer",April,2024,Sunday,21,424.57
"2023-01-01 01:55:00",23:58:24,Regular,Clothing,175.39,1,175.39,"Mahesh Verma",January,2023,Sunday,23,175.39
"2023-08-02 11:14:00",17:44:17,Premium,"Home & Kitchen",448.88,5,2244.4,"Bhavesh Yadav",August,2023,Wednesday,17,448.88
"2023-08-14 23:56:00",21:25:59,Member,Clothing,350.97,5,1754.85,"Bhavesh Verma",August,2023,Monday,21,350.96999999999997
"2024-10-11 21:28:00",21:55:03,Premium,Electronics,317.55,1,317.55,"Avani Agarwal",October,2024,Friday,21,317.55
"2023-02-02 09:57:00",06:59:32,Premium,"Home & Kitchen",491.74,1,491.74,"Aakash Wadhwa",February,2023,Thursday,6,491.74
"2023-03-22 19:57:00",05:43:39,Member,Electronics,331.31,4,1325.24,"Vaibhav Iyer",March,2023,Wednesday,5,331.31
"2024-12-05 09:35:00",14:10:29,Premium,Electronics,53.36,1,53.36,"Eeshaan Wadhwa",December,2024,Thursday,14,53.36
"2023-08-15 10:12:00",23:17:33,Member,Clothing,199.82,3,599.46,"Priya Gupta",August,2023,Tuesday,23,199.82000000000002
"2023-06-18 06:50:00",02:20:05,Member,"Home & Kitchen",189.16,2,378.32,"Aakash Xavier",June,2023,Sunday,2,189.16
"2023-07-21 19:09:00",04:14:24,Member,Grocery,361.82,4,1447.28,"Tanvi Lal",July,2023,Friday,4,361.82
"2023-12-10 05:55:00",19:01:55,Premium,Clothing,53.34,4,213.36,"Yash Mehta",December,2023,Sunday,19,53.34
"2024-09-07 03:09:00",12:16:44,Regular,"Home & Kitchen",38.76,1,38.76,"Vaibhav Yadav",September,2024,Saturday,12,38.76
"2024-10-29 12:50:00",16:58:52,Member,Clothing,107.76,1,107.76,"Krishna Rao",October,2024,Tuesday,16,107.76
"2024-08-10 15:15:00",07:08:11,Regular,Clothing,470.17,3,1410.51,"Rohan Agarwal",August,2024,Saturday,7,470.17
"2024-12-06 13:59:00",02:37:17,Member,Electronics,189.19,2,378.38,"Priya Rao",December,2024,Friday,2,189.19
"2024-06-17 08:43:00",01:00:06,Regular,Clothing,351.26,5,1756.3,"Lakshmi Xavier",June,2024,Monday,1,351.26
"2024-05-07 06:57:00",11:52:08,Member,Electronics,281,3,843,"Shreya Sharma",May,2024,Tuesday,11,281
"2024-05-13 17:07:00",07:13:33,Member,Grocery,176.74,4,706.96,"Rohan Mehta",May,2024,Monday,7,176.74
"2024-09-06 15:24:00",06:28:42,Member,Clothing,447.9,3,1343.7,"Diya Yadav",September,2024,Friday,6,447.90000000000003
"2023-07-18 22:09:00",07:38:14,Member,Clothing,74.78,4,299.12,"Eeshaan Patel",July,2023,Tuesday,7,74.78
"2023-04-28 06:27:00",19:14:10,Premium,Electronics,383.7,5,1918.5,"Gaurav Agarwal",April,2023,Friday,19,383.7
"2024-05-05 12:20:00",03:31:28,Member,Clothing,404.52,4,1618.08,"Bhavesh Jain",May,2024,Sunday,3,404.52
"2024-09-22 21:51:00",12:33:57,Premium,Clothing,224.19,1,224.19,"Aakash Rao",September,2024,Sunday,12,224.19
"2024-04-17 01:17:00",14:10:56,Regular,"Beauty & Personal Care",43.86,1,43.86,"Yash Gupta",April,2024,Wednesday,14,43.86
"2024-01-23 17:08:00",13:20:21,Member,Clothing,478.62,4,1914.48,"Uday Lal",January,2024,Tuesday,13,478.62
"2023-10-25 14:09:00",02:57:13,Regular,Grocery,411.93,4,1647.72,"Eeshaan Jain",October,2023,Wednesday,2,411.93
"2023-07-19 23:26:00",11:59:42,Member,"Home & Kitchen",324.42,4,1297.68,"Priya Iyer",July,2023,Wednesday,11,324.42
"2023-09-08 03:30:00",14:24:58,Regular,"Home & Kitchen",338.05,5,1690.25,"Tanvi Agarwal",September,2023,Friday,14,338.05
"2023-12-19 21:47:00",04:54:25,Member,"Beauty & Personal Care",429.05,3,1287.15,"Priya Kumar",December,2023,Tuesday,4,429.05
"2023-10-16 09:26:00",02:57:42,Member,Clothing,94.21,2,188.42,"Aakash Khanna",October,2023,Monday,2,94.21
"2023-08-29 00:30:00",07:14:01,Member,Clothing,217.42,5,1087.1,"Jai Gupta",August,2023,Tuesday,7,217.42
"2024-11-18 18:36:00",16:47:27,Premium,Clothing,264.59,2,529.18,"Yash Iyer",November,2024,Monday,16,264.59
"2023-04-03 15:17:00",21:04:47,Premium,"Home & Kitchen",274.95,5,1374.75,"Nandini Mehta",April,2023,Monday,21,274.95
"2023-09-12 12:58:00",19:54:20,Regular,Clothing,217.31,3,651.93,"Diya Sharma",September,2023,Tuesday,19,217.30999999999997
"2024-10-03 07:48:00",14:13:40,Member,Clothing,130.99,1,130.99,"Tanvi Khanna",October,2024,Thursday,14,130.99
"2024-09-18 12:44:00",23:13:20,Regular,"Beauty & Personal Care",494.43,4,1977.72,"Shreya Verma",September,2024,Wednesday,23,494.43
"2023-09-16 12:21:00",14:29:19,Regular,"Home & Kitchen",61.69,3,185.07,"Eeshaan Sharma",September,2023,Saturday,14,61.69
"2024-08-27 21:14:00",18:17:50,Premium,Grocery,339.09,4,1356.36,"Krishna Kumar",August,2024,Tuesday,18,339.09
"2024-03-19 16:35:00",08:43:28,Member,"Beauty & Personal Care",344.58,5,1722.9,"Krishna Chauhan",March,2024,Tuesday,8,344.58000000000004
"2023-09-12 13:18:00",10:33:12,Regular,Clothing,101.81,1,101.81,"Diya Mehta",September,2023,Tuesday,10,101.81
"2023-09-16 21:57:00",11:36:50,Regular,Electronics,226.52,1,226.52,"Rohan Wadhwa",September,2023,Saturday,11,226.52
"2023-04-30 22:02:00",14:22:06,Regular,Grocery,304.22,1,304.22,"Mahesh Verma",April,2023,Sunday,14,304.22
"2024-03-02 19:47:00",01:36:18,Regular,Clothing,65.72,4,262.88,"Diya Agarwal",March,2024,Saturday,1,65.72
"2023-10-22 18:56:00",23:23:36,Premium,Grocery,23.07,2,46.14,"Diya Lal",October,2023,Sunday,23,23.07
"2023-09-23 05:40:00",00:24:47,Regular,Grocery,236.09,5,1180.45,"Krishna Wadhwa",September,2023,Saturday,0,236.09
"2023-03-08 07:46:00",11:58:57,Regular,Electronics,484.31,5,2421.55,"Uday Bhatia",March,2023,Wednesday,11,484.31000000000006
"2023-05-19 03:33:00",04:16:35,Member,Grocery,410.03,3,1230.09,"Uday Wadhwa",May,2023,Friday,4,410.03
"2024-10-14 17:38:00",15:45:54,Regular,Electronics,402.41,5,2012.05,"Rohan Iyer",October,2024,Monday,15,402.40999999999997
"2023-07-30 15:37:00",01:05:11,Premium,"Beauty & Personal Care",197.65,1,197.65,"Tanvi Verma",July,2023,Sunday,1,197.65
"2023-01-05 13:17:00",16:18:07,Regular,Clothing,336.23,2,672.46,"Mahesh Verma",January,2023,Thursday,16,336.23
"2023-04-23 13:56:00",02:06:59,Regular,"Beauty & Personal Care",38.23,2,76.46,"Krishna Rao",April,2023,Sunday,2,38.23
"2024-07-22 23:22:00",00:49:01,Member,Grocery,116.44,4,465.76,"Priya Bhatia",July,2024,Monday,0,116.44
"2023-04-21 11:13:00",13:55:16,Regular,"Beauty & Personal Care",235.6,1,235.6,"Shreya Rao",April,2023,Friday,13,235.6
"2023-01-14 14:13:00",05:30:41,Premium,Electronics,80.01,2,160.02,"Ishaan Lal",January,2023,Saturday,5,80.01
"2023-10-29 15:44:00",19:09:08,Premium,"Home & Kitchen",194.62,5,973.1,"Ishaan Mehta",October,2023,Sunday,19,194.62
"2024-04-22 11:29:00",02:39:22,Regular,"Home & Kitchen",396.47,4,1585.88,"Bhavesh Iyer",April,2024,Monday,2,396.47
"2024-01-31 20:37:00",20:14:25,Regular,Electronics,372.57,5,1862.85,"Uday Yadav",January,2024,Wednesday,20,372.57
"2024-04-06 20:25:00",17:35:09,Member,Grocery,295.87,5,1479.35,"Gaurav Iyer",April,2024,Saturday,17,295.87
"2024-11-02 06:13:00",13:11:02,Member,"Home & Kitchen",16.43,2,32.86,"Shreya Patel",November,2024,Saturday,13,16.43
"2024-01-24 07:41:00",19:18:20,Regular,Electronics,440.19,4,1760.76,"Nandini Iyer",January,2024,Wednesday,19,440.19
"2023-11-13 18:39:00",03:55:36,Regular,"Home & Kitchen",216.77,2,433.54,"Krishna Wadhwa",November,2023,Monday,3,216.77
"2024-12-13 19:25:00",22:41:33,Premium,Clothing,448.36,3,1345.08,"Diya Kumar",December,2024,Friday,22,448.35999999999996
"2023-02-19 21:32:00",16:38:00,Premium,Clothing,406.56,2,813.12,"Yash Verma",February,2023,Sunday,16,406.56
"2024-06-25 20:11:00",09:28:34,Premium,Clothing,221.76,1,221.76,"Krishna Mehta",June,2024,Tuesday,9,221.76
"2024-05-28 05:56:00",01:23:57,Regular,Grocery,220.95,3,662.85,"Zara Desai",May,2024,Tuesday,1,220.95000000000002
"2023-08-09 04:08:00",03:16:54,Premium,Electronics,429.75,5,2148.75,"Eeshaan Kumar",August,2023,Wednesday,3,429.75
"2024-02-09 10:56:00",00:29:03,Member,Clothing,469.21,1,469.21,"Nandini Xavier",February,2024,Friday,0,469.21
"2024-10-17 23:45:00",21:40:05,Regular,Grocery,217.83,5,1089.15,"Avani Yadav",October,2024,Thursday,21,217.83
"2023-04-20 17:56:00",00:57:22,Member,Electronics,302.26,4,1209.04,"Rohan Lal",April,2023,Thursday,0,302.26
"2023-01-05 03:28:00",13:49:53,Premium,Electronics,365.97,4,1463.88,"Tanvi Yadav",January,2023,Thursday,13,365.97
"2024-10-28 08:44:00",21:56:09,Regular,Clothing,404.88,4,1619.52,"Gaurav Patel",October,2024,Monday,21,404.88
"2024-12-17 17:38:00",04:46:58,Premium,Electronics,97.28,4,389.12,"Zara Bhatia",December,2024,Tuesday,4,97.28
"2024-11-23 23:27:00",05:22:02,Regular,Clothing,262.89,4,1051.56,"Vaibhav Wadhwa",November,2024,Saturday,5,262.89
"2024-03-29 15:19:00",21:06:02,Premium,Electronics,344.72,5,1723.6,"Avani Patel",March,2024,Friday,21,344.71999999999997
"2023-01-03 16:47:00",07:28:33,Regular,Electronics,336.85,1,336.85,"Diya Gupta",January,2023,Tuesday,7,336.85
"2023-01-23 23:30:00",16:52:44,Premium,"Beauty & Personal Care",217.13,1,217.13,"Nandini Desai",January,2023,Monday,16,217.13
"2023-02-04 16:49:00",16:23:24,Regular,"Beauty & Personal Care",343.97,2,687.94,"Yash Chauhan",February,2023,Saturday,16,343.97
"2023-09-20 04:17:00",12:19:37,Member,"Home & Kitchen",61.65,4,246.6,"Yash Chauhan",September,2023,Wednesday,12,61.65
"2023-05-12 18:35:00",19:33:19,Regular,Grocery,154.75,4,619,"Lakshmi Sharma",May,2023,Friday,19,154.75
"2024-05-10 16:13:00",15:11:13,Member,Grocery,45.01,3,135.03,"Ishaan Lal",May,2024,Friday,15,45.01
"2023-06-19 14:14:00",10:43:34,Member,"Home & Kitchen",206.59,5,1032.95,"Krishna Gupta",June,2023,Monday,10,206.59
"2023-05-31 07:14:00",04:44:40,Regular,"Home & Kitchen",66.03,1,66.03,"Uday Sharma",May,2023,Wednesday,4,66.03
"2023-04-01 16:36:00",06:02:10,Regular,Clothing,148.98,5,744.9,"Tanvi Chauhan",April,2023,Saturday,6,148.98
"2024-07-10 03:30:00",01:52:28,Premium,Clothing,66.25,3,198.75,"Mahesh Sharma",July,2024,Wednesday,1,66.25
"2025-01-08 10:56:00",05:16:24,Regular,Grocery,438.41,4,1753.64,"Yash Lal",January,2025,Wednesday,5,438.41
"2023-08-27 22:23:00",05:13:31,Premium,Electronics,213.32,1,213.32,"Rohan Gupta",August,2023,Sunday,5,213.32
"2023-06-30 10:51:00",08:08:56,Member,Electronics,137.63,3,412.89,"Zara Verma",June,2023,Friday,8,137.63
"2023-02-03 22:56:00",10:32:53,Regular,"Beauty & Personal Care",400.27,2,800.54,"Zara Desai",February,2023,Friday,10,400.27
"2023-05-03 11:57:00",04:52:33,Member,Grocery,73.98,3,221.94,"Gaurav Gupta",May,2023,Wednesday,4,73.98
"2023-06-29 07:45:00",22:33:27,Regular,Electronics,250.51,3,751.53,"Shreya Rao",June,2023,Thursday,22,250.51
"2024-01-26 09:25:00",05:01:44,Regular,Clothing,22.28,2,44.56,"Uday Desai",January,2024,Friday,5,22.28
"2023-05-13 08:31:00",08:23:49,Regular,Grocery,359.05,2,718.1,"Gaurav Jain",May,2023,Saturday,8,359.05
"2024-10-04 14:42:00",08:04:49,Regular,Electronics,472.75,5,2363.75,"Tanvi Mehta",October,2024,Friday,8,472.75
"2024-05-12 12:14:00",08:09:40,Regular,"Home & Kitchen",287.52,1,287.52,"Aakash Khanna",May,2024,Sunday,8,287.52
"2024-11-02 01:58:00",22:15:54,Member,Electronics,318.09,1,318.09,"Nandini Sharma",November,2024,Saturday,22,318.09
"2024-10-31 08:31:00",17:37:17,Regular,Electronics,142.24,3,426.72,"Avani Agarwal",October,2024,Thursday,17,142.24
"2024-05-19 12:23:00",03:50:13,Regular,"Beauty & Personal Care",405.4,3,1216.2,"Rohan Gupta",May,2024,Sunday,3,405.40000000000003
"2024-05-12 03:17:00",12:42:36,Member,Electronics,368.51,4,1474.04,"Shreya Lal",May,2024,Sunday,12,368.51
"2023-01-22 09:42:00",02:08:07,Premium,Clothing,363.47,4,1453.88,"Priya Verma",January,2023,Sunday,2,363.47
"2024-06-15 09:33:00",18:09:37,Regular,Clothing,201.39,1,201.39,"Vaibhav Singh",June,2024,Saturday,18,201.39
"2024-05-09 05:57:00",11:48:27,Premium,Electronics,107.88,4,431.52,"Diya Wadhwa",May,2024,Thursday,11,107.88
"2024-05-16 11:50:00",01:17:44,Premium,"Home & Kitchen",293.06,1,293.06,"Lakshmi Verma",May,2024,Thursday,1,293.06
"2023-12-04 15:42:00",00:46:51,Regular,Electronics,304.49,2,608.98,"Eeshaan Rao",December,2023,Monday,0,304.49
"2023-05-05 13:08:00",16:31:56,Regular,Grocery,21.21,4,84.84,"Uday Iyer",May,2023,Friday,16,21.21
"2024-12-02 03:14:00",09:10:32,Premium,Grocery,474.87,1,474.87,"Aakash Bhatia",December,2024,Monday,9,474.87
"2024-04-15 04:16:00",13:01:04,Premium,Electronics,342.39,1,342.39,"Lakshmi Desai",April,2024,Monday,13,342.39
"2024-11-27 14:18:00",17:37:45,Premium,Grocery,55.09,3,165.27,"Mahesh Zutshi",November,2024,Wednesday,17,55.09
"2024-03-07 13:36:00",04:47:42,Member,Electronics,319.1,1,319.1,"Mahesh Rao",March,2024,Thursday,4,319.1
"2023-09-19 21:35:00",17:59:53,Premium,Electronics,316.13,2,632.26,"Vaibhav Agarwal",September,2023,Tuesday,17,316.13
"2024-03-12 06:39:00",16:49:59,Premium,"Beauty & Personal Care",240.78,3,722.34,"Yash Desai",March,2024,Tuesday,16,240.78
"2023-06-29 20:31:00",20:36:46,Member,"Beauty & Personal Care",425.35,5,2126.75,"Jai Sharma",June,2023,Thursday,20,425.35
"2023-08-11 12:53:00",10:48:20,Regular,Grocery,399.28,2,798.56,"Uday Bhatia",August,2023,Friday,10,399.28
"2023-10-16 04:27:00",02:43:01,Regular,"Home & Kitchen",398.79,3,1196.37,"Mahesh Sharma",October,2023,Monday,2,398.78999999999996
"2024-09-11 14:20:00",03:11:31,Premium,"Beauty & Personal Care",172.7,2,345.4,"Shreya Rao",September,2024,Wednesday,3,172.7
"2023-09-08 12:14:00",12:50:57,Member,Clothing,385.69,4,1542.76,"Priya Lal",September,2023,Friday,12,385.69
"2023-12-15 01:55:00",23:14:15,Premium,Electronics,48.3,2,96.6,"Ishaan Xavier",December,2023,Friday,23,48.3
"2023-08-23 05:16:00",16:10:49,Regular,"Home & Kitchen",79.95,4,319.8,"Nandini Yadav",August,2023,Wednesday,16,79.95
"2023-05-31 17:21:00",15:22:43,Member,"Home & Kitchen",433.1,3,1299.3,"Mahesh Agarwal",May,2023,Wednesday,15,433.09999999999997
"2024-03-15 16:57:00",07:20:12,Member,Electronics,468.67,3,1406.01,"Avani Lal",March,2024,Friday,7,468.67
"2024-08-02 05:07:00",02:27:26,Premium,"Home & Kitchen",268.26,2,536.52,"Rohan Bhatia",August,2024,Friday,2,268.26
"2023-05-25 11:23:00",02:48:03,Member,Clothing,161.13,4,644.52,"Aakash Chauhan",May,2023,Thursday,2,161.13
"2024-02-12 14:56:00",14:40:56,Premium,"Beauty & Personal Care",86.59,5,432.95,"Aakash Xavier",February,2024,Monday,14,86.59
"2024-10-26 14:37:00",23:08:12,Member,"Home & Kitchen",117.16,5,585.8,"Bhavesh Yadav",October,2024,Saturday,23,117.16
"2024-09-13 06:48:00",23:51:24,Regular,Grocery,37.42,3,112.26,"Diya Bhatia",September,2024,Friday,23,37.42
"2023-01-25 18:58:00",04:41:12,Premium,Grocery,57.31,3,171.93,"Tanvi Kumar",January,2023,Wednesday,4,57.31
"2023-03-23 09:54:00",01:02:31,Regular,"Home & Kitchen",179.06,3,537.18,"Ishaan Gupta",March,2023,Thursday,1,179.05999999999997
"2023-08-09 03:58:00",10:48:54,Premium,Grocery,249.56,1,249.56,"Nandini Xavier",August,2023,Wednesday,10,249.56
"2023-10-31 21:43:00",15:25:00,Premium,Electronics,270.25,3,810.75,"Tanvi Iyer",October,2023,Tuesday,15,270.25
"2024-11-04 07:22:00",15:50:36,Premium,Electronics,251.37,3,754.11,"Bhavesh Xavier",November,2024,Monday,15,251.37
"2023-10-05 07:02:00",19:15:25,Regular,"Beauty & Personal Care",358.78,3,1076.34,"Eeshaan Kumar",October,2023,Thursday,19,358.78
"2023-06-30 12:28:00",18:19:30,Member,"Beauty & Personal Care",496.1,2,992.2,"Diya Xavier",June,2023,Friday,18,496.1
"2024-05-30 18:39:00",06:39:06,Regular,Grocery,385.74,2,771.48,"Priya Sharma",May,2024,Thursday,6,385.74
"2024-12-05 18:35:00",16:15:14,Member,Grocery,95.96,4,383.84,"Krishna Desai",December,2024,Thursday,16,95.96
"2024-02-13 00:34:00",17:42:10,Premium,"Home & Kitchen",494.54,3,1483.62,"Tanvi Mehta",February,2024,Tuesday,17,494.53999999999996
"2023-03-27 12:40:00",17:33:51,Premium,Clothing,125.53,1,125.53,"Krishna Wadhwa",March,2023,Monday,17,125.53
